Modele,Type,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test,MAPE_Test,AIC,BIC,Direction_Acc
ARIMA,Returns,0.042669357912255,0.0464024510425374,0.030576748087347,0.0373965458818588,90.3156378188321,-4558.80612416703,-4527.70745395657,
SARIMA,Returns,0.0428589328109385,0.0451907730955112,0.030639014050644,0.0372667250689507,100.0,-4557.19759448209,-4552.01448278035,
ARIMAX,Returns,0.0397992688054894,0.0326991590262123,0.0288423254707715,0.0257067042740185,122.572925118395,-4738.20373522748,-4696.73884161354,
ETS,Prix,9.34006221094824,32.5254190717844,6.47711595777745,28.7092563407718,10.3023486300451,15108.8732509774,15134.7888094862,
Prophet,Prix,,116.097585854055,,114.149787620703,,,,
ARCH(1),Volatilité,,,,,,0.355786668940406,0.367593301518409,
"GARCH(1,1) Normal",Volatilité,,,,,,-3.55274476695082,-3.53700259018015,
"GARCH(1,1) Student-t",Volatilité,,,,,,-3.63879300259086,-3.61911528162753,
VAR(3),Multivarié,,,,,,,,
LSTM,Returns,,0.035217573368448524,,0.027236241373263925,,,,46.57534246575342
GRU,Returns,,0.03521256608807076,,0.02730058419447468,,,,45.89041095890411
ARIMA-LSTM,Returns,,0.12429491171071769,,0.10737476071597622,,,,44.18604651162791
Prophet-RNN,Returns,,0.03723258196264219,,0.02836860321478355,,,,53.42465753424658
