Modele,Type,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test,MAPE_Test,AIC,BIC
ARIMA,Returns,0.0427142748294751,0.0430627903645463,0.0306221980138016,0.0339271341491297,88.9906503173877,-4561.50791122169,-4535.58855764638
SARIMA,Returns,0.0428736721059674,0.0418565921272705,0.0306606694020911,0.0337982330602562,100.0,-4559.75302859114,-4554.56915787608
ARIMAX,Returns,0.0397811608861382,0.0324782887631654,0.0288135444830962,0.0254929832257596,123.500354610829,-4740.99507439976,-4694.34023796419
ETS,Prix,9.34453766637038,47.0386014242394,6.48269344930218,44.1160673631966,15.7608863332648,15122.6645313634,15148.5838849387
Prophet,Prix,,99.2331788830785,,98.9746343283579,,,
ARCH(1),Volatilité,,,,,,-3.46915196750519,-3.4573525652706
GARCH_Normal,Volatilité,,,,,,-3.55214960257391,-3.53641706626113
GARCH_Student-t,Volatilité,,,,,,-3.63790740192272,-3.61824173153174
VAR(3),Multivarié,,,,,,,
LSTM,Returns,,1.440174686908722,,0.027182538316868315,,,
GRU,Returns,,0.8438318332036336,,0.026833983231760474,,,
ARIMA-LSTM,Returns,,0.10167557445648087,,0.07741626347377631,,,
Prophet-RNN,Returns,,0.03687855862498657,,0.028153445815771342,,,
